ONCOTREE_CODE	NCIT_CODE	UMLS_CODE	ICDO_TOPOGRAPHY_CODE	ICDO_MORPHOLOGY_CODE	HEMEONC_CODE
AMPCA	C3908	C0262401	C24.1	8010/3	651
CCS	C3745	C0206651	C49.9	9044/3	
IMTL	C39740	C1518038	C34.9	8827/1	
MFH	C4247	C0334463	C49.9	8830/3	
FIBS	C3043	C0016057	C49.9	8810/3	
COM	C47848	C1711312			
BMGCT	C4290	C0334524	C71.9	9085/3	
SCHW	C3269	C0027809	C47.9	9560/0	
CERVIX	C12311	C0007874			
SIC	C7724	C0238196	C17.9	8010/3	
NSCLC	C2926	C0007131	C34.9	8046/3	642
PBS	C4670	C0349667	C50.9	8800/3	
UMC	C40144	C0854923	C55.9	8480/3	
VMT	C9015	C1368910	C57.9	9080/0	
OGCT	C3873	C0238324	C56.9	9064/3	
MPC	C50401	C1302808			
CEVG	C40208	C1516425			
ASTB	C4324	C0334587	C72.9	9430/3	
MAC	C7581	C0346027			
VDYS	C8106	C0346185	C57.9	9060/3	
PHCH	C96804	C3273047	C24.9	8160/3	
ICEMU	C40203	C1516422	C53.9	8480/3	
DDCHS	C6476	C0862878	C41.9	9243/3	
SACA	C9272	C0948750	C08.9	8010/3	
GMN	C3753	C0206660	C72.9	9064/3	
PLRMS	C4258	C0334480	C49.9	8901/3	
PANCREAS	C12393	C0030274	C25.9	8000/3	
OM	C8562	C0558356	C69.9	8720/3	
BPSCC	C6980	C1332462	C60.9	8083/3	
OSMBT	C40038	C1511264	C56.9	8442/1	
RWDNET	C96159	C3272610	C20.9	8240/3	
CCOC	C54300	C0475829	C41.0	9341/3	
LCH	C3107	C0019621	C42.4	9752/1	
LNET	C5670	C1334452	C34.9	8240/3	
LUACC	C5666	C1334439	C34.9	8200/3	
PCNSM	C5505	C1332888	C72.9	8720/3	577
MAAP	C43558	C1706832	C18.1	8480/3	
ASPS	C3750	C0206657	C49.9	9581/3	
PMHE	C121668	C3840252			
PRNET	C3787	C0206715	C72.9	8010/3	
STOMACH	C12391	C0038351	C16.9	8000/3	38787
BA	C5184	C1332614	C50.9	9120/3	
AMPULLA_OF_VATER	C13011	C0042425			
SKIN	C12470	C1123023	C44.9	8000/3	46102
BLADDER	C12414	C0005682	C67.9	8000/3	
TCCA	C7733	C0238449	C62.9	9100/3	
MMBL	C9497	C1275668			
MUCC	C3772	C0206694	C08.9	8430/3	
USTUMP	C40177	C1519864	C55.9	8897/1	
USARC	C6339	C0338113	C55.9	8800/3	
ECAD	C28327	C1299237	C53.0	8140/3	
AMOL	C4861	C0023465	C42.4	9891/3	
SOC	C7550	C1335177	C56.9	8441/3	
OCS	C9192	C0392998	C56.9	8980/3	
BLSC	C4031	C0279681	C67.9	8070/3	
CHL	C7164	C1333064	C42.4	9650/3	
MBL	C3222	C0025149	C72.9	9470/3	628
NHL	C3211	C0024305	C42.4	9590/3	46089
DSRCT	C8300	C0281508	C49.9	8806/3	
ALUCA	C45551	C1708766	C34.9	8249/3	
SPC	C6870	C1336027	C50.9	8050/3	
CHBL	C2945	C0008441	C41.9	9230/0	
EBOV	C7983	C0334338	C56.9	8380/1	
THPD	C6040	C1266050	C73.9	8337/3	
ES	C4817	C0553580	C41.9	9260/3	597
SGO	C5932	C1335906			
UCP	C5722	C1336861	C25.9	8020/3	
MRC	C7572	C4049328	C64.9	8510/3	
CSCHW	C4724	C0431124	C47.9	9560/0	
GBC	C3844	C0235782	C23.9	8000/3	600
DIA	C9476	C0457179			
PBL	C9344	C0205898	C75.3	9362/3	
EVN	C92555	C2985175	C72.9	9506/1	
OVARY	C12404	C0029939	C56.9	8000/3	645
PTCA	C4536	C0346300	C75.1	8272/3	
USC	C27838	C0854924	C55.9	8441/3	
PERITONEUM	C12770	C0031153	C48.2	8000/3	
SNA	C160976	CL970005	C30.0	8140/3	
WDTC	C7153	C1337013	C73.9	8010/3	
TSCST	C3794	C0206724	C62.9	8590/1	
HDCS	C27349	C0334663	C49.9	9757/3	
MASC	C40361	C1510796			
AOAST	C6959	C0431108	C72.9	9382/3	
MDS	C3247	C3463824	C42.4	9989/3	634
APAD	C7718	C0238003	C18.1	8140/3	
LIVER	C12392	C0023884	C22.0	8000/3	
CSCC	C4819	C0553723	C44.9	8070/3	588
EMYOCA	C4199	C0334392	C76.0	8562/3	
LUAS	C9133	C0279557	C34.9	8560/3	
CEMN	C40254	C1516419	C53.9	9110/3	
BPDCN	C7203	C1301363	C42.4	9727/3	570
SBOV	C5226	C1332598	C56.9	8442/1	
BLCLC	C7266	C1332463	C34.9	8012/3	
BIMT	C7014	C1332883	C71.9	9080/3	
EMBCA	C6341	C0238448	C62.9	9070/3	
ADPA	C27534	C1367789			
LGSOC	C105556	C3642255	C56.9	8460/3	
CDRCC	C6194	C1266044	C64.9	8319/3	
AITL	C7528	C0020981	C42.4	9705/3	
SEBA	C40310	C0206684	C44.9	8410/3	
LGCOS	C6474	C1266163	C41.9	9187/3	
CHM	C4871	C0678213	C55.9	9100/0	
ISTAD	C9157	C0279633	C16.9	8140/3	
MCHS	C53493	C1708980	C41.9	9240/3	
NPC	C3871	C2931822	C11.9	8010/3	639
LGESS	C4263	C0334486	C54.1	8931/3	
SCEMU	C40205	C1516424			
MBT	C6974	C1334936	C71.9	8000/1	
UTUC	C7716	C0220648	C68.9	8120/3	
PPCT			C44.9	8000/1	
OMGCT	C8114	C0280135	C56.9	9085/3	
OPE	C39990	C1514199			
STSC	C6764	C1333788	C16.9	8002/3	
NBL	C3270	C0027819	C47.9	9500/3	640
UA	C39843	C1511204	C67.7	8140/3	
SCB	C39824	C1512743	C67.9	8033/3	
CEAD	C4029	C0279672	C53.9	8140/3	579
HEMA	C3085	C0018916	C49.9	9120/0	
EPIS	C3714	C0205944	C49.9	8804/3	53861
SCOAH	C94537	C2986561	C75.1	8290/0	
MCHSCNS	C3737	C0206637			
PLLS	C3705	C0205825	C49.9	8854/3	
GCTSTM	C4289	C0334523	C62.9	9084/3	
BTOV	C39954	CL323981	C56.9	9000/0	
DDLS	C3704	C0205824	C49.9	8858/3	
ETANTR	C4915	C0700367			
BPT	C5196	C1332533			
LUMEC	C45544	C1708778	C34.9	8430/3	
SAAD	C8021	C0279746	C08.9	8140/3	
MDLC	C5160	CL007210	C50.9	8522/3	
OVT	C4381	C0341823	C56.9	8010/3	
RGNT	C67559	C2347979	C71.7	9509/1	
NSGCT	C9313	C1336724	C62.9	9065/3	
OYST	C8107	C0346188	C56.9	9071/3	
SPN	C37212	C1336030	C25.9	8452/1	
WPSCC	C6981	C1337009			
UAS	C6336	C1336917	C55.9	8933/3	
LGFMS	C45202	C1275282	C49.9	8840/3	
SDCA	C5904	C1301194	C08.9	8500/3	
AGA	C5609	C1266027	C21.0	8215/3	
BRSRCC	C5175	C1335964	C50.9	8490/3	
TYST	C8000	C0279708	C62.9	9071/3	
PAAD	C8294	C0281361	C25.9	8140/3	648
MGCT	C6347	C1336720	C62.9	9085/3	
PB	C4265	C0334489	C25.9	8971/3	
CECC	C6344	C1332912	C53.9	8310/3	
LMS	C3158	C0023269	C49.9	8890/3	54053
SM	C9235	C0221013	C42.4	9741/3	669
SEM	C9309	C0036631	C62.9	9061/3	
STAD	C4004	C0278701	C16.9	8140/3	601
DTE	C27524	C0432526			
TESTIS	C12412	C0039597	C62.9	8000/3	671
POCA	C5560	C1266065	C44.9	8409/3	
SGAD	C3682	C1883403	C44.9	8400/3	
SCBC	C9461	C1332564	C67.9	8041/3	
LCIS	C4018	C0279563	C50.9	8520/2	
DIG	C4738	C1321878	C72.9	8000/3	
DMBL	C4956	C0751291	C72.9	9471/3	
ANSC	C9161	C1412036	C21.0	8070/3	558
UTERUS	C12405	C0042149	C55.9	8000/3	
OS	C9145	C0029463	C41.9	9180/3	644
MYCF	C3246	C0026948	C42.4	9700/3	586
SARCL	C45540	C1708781	C34.9	8033/3	
IMTB	C6177	C1336891	C67.9	8825/1	
ODG	C3288	C0751396	C72.9	9450/3	
ESS	C8973	C0206630	C54.1	8930/3	
CCHM	C47847	C1707042	C50.9	8575/3	
NFIB	C3272	C0027830	C47.9	9540/0	
PEL	C6915	C1292753	C42.4	9678/3	
MRLS	C27781	C0206634	C49.9	8852/3	
GCTB	C121932	C0206638	C41.9	9250/1	53894
PINC	C6966	C0917890			
GS	C4221	C1266111	C49.9	8710/3	
MT	C9305	C0006826	C71.9	8000/3	
GIST	C3868	C0238198	C26.9	8936/1	602
BMGT	C7015	C1336704			
BRAIN	C12438	C3714787	C72.9	8000/3	46090
AML	C3171	C0023467	C42.4	9840/3	552
SPIR	C4170	C0334347	C44.9	8403/0	
CCM	C4722	C0431121	C72.9	9538/1	
UCA	C9106	C0700101	C68.0	8000/3	
THYROID	C12400	C0040132	C73.9	8000/3	675
MPT	C4504	C0346154	C50.9	9020/3	
PSTT	C3757	C0206666			
LECLC	C45519	C1708792	C34.9	8082/3	
PPB	C5669	C1266144	C34.9	8973/3	
OSMCA	C40090	C0279392	C56.9	8474/3	
BFN	C40405	C1511309			
RMS	C3359	C0035412	C49.9	8900/3	661
THPA	C4035	C0238463	C73.9	8260/3	
CMML	C3178	C0023480	C42.4	9945/3	583
SCOS	C4023	C0279622	C41.9	9185/3	
CHRCC	C4146	C1266042	C64.9	8317/3	
PNS	C12465	C0206417			
AA	C6936	C1306242			
ANM	C4051	C0259785	C70.9	9530/3	
ATRT	C6906	C1266184	C72.9	9508/3	
UEC	C6287	C1336905	C55.9	8380/3	
PRNE	C5545	C1335515	C61.9	8246/3	
VMA	C40252	C1519925			
ASTR	C60781	C0004114	C72.9	9400/3	
GB	C3058	C0017636	C72.9	9440/3	
VA	C7981	C0279668	C52.9	8140/3	
GNG	C3788	C0206716	C72.9	9505/1	
MOV	C5242	C1335168	C56.9	8480/3	
GNC	C6934	CL378224	C72.9	9490/0	
APE	C4049	C0280788	C72.9	9392/3	
GSARC	C3796	C0206726	C72.9	9442/3	
FA	C3744	C0206650			
BLAD	C4032	C0279682	C67.9	8140/3	
EOV	C7979	C0346163	C56.9	8380/3	
RBL	C7541	C0035335	C69.2	9510/3	
STMYEC	C7596	C0334699	C49.9	8982/3	
ANGL	C92552	C2363903	C72.9	9431/1	
AGNG	C4717	C0431112	C72.9	9505/3	
MSCC	C5177	C1336079	C50.9	8070/3	
SOFT_TISSUE	C12471	C0225317	C49.9	8000/3	667
NST	C4972	C0206727	C47.9	9540/3	
CCRCC	C4033	C0279702	C64.9	8310/3	
CEAS	C4519	C0346202	C53.9	8560/3	
UUC	C6345	C0850327	C55.9	8020/3	
THYMUS	C12433	C0040113			
UCEC	C7558	C0476089	C54.1	8010/3	593
CSCLC	C9137	C0334240	C34.9	8045/3	
SMZL	C4663	C0349632	C42.4	9689/3	
BMT	C7013	C1332886	C71.9	9080/0	
UCCA	C27246	C0279677	C55.9	9100/3	
MPN	C4345	C1292778	C42.4	9960/3	46095
PHM	C4293	C0334529			
USTAD	C5476	C1336858	C16.9	8140/3	
CPC	C4715	C0431109	C72.9	9390/3	
SKCM	C3510	C0151779	C44.9	8720/3	
ACC	C9325	C0206686	C74.9	8370/3	555
MLYM	C3208	C0024299	C71.9	9590/3	
IDCS	C9282	C1260326	C49.9	9757/3	
SRCC	C27893	C1266043	C64.9	8318/3	
BL	C2912	C0006413	C42.4	9687/3	573
BRAME	C6899	C1510795	C50.9	8983/0	
TRCC	C27891	C1337036	C64.9	8312/3	
SCSRMS	C121654	C4053999	C49.9	8912/3	
PAAC	C7977	C0279661	C25.9	8550/3	
CACC	C6346	C1332911	C53.9	8200/3	
PINT	C3328	C1412004	C75.3	9360/1	
IHM	C6985	C0008493			
SRCCR	C9168,C7967	C0279654,C1707436	C18.9	8490/3	
MCL	C4337	C0334634	C42.4	9673/3	625
ACA	C9003	C0206667	C74.9	8370/0	
PLEURA	C12469	C0032225			
OIMT	C8111	C0346182	C56.9	9080/3	
VGCE	C40208	C1516425	C53.9	8262/3	
IAMPCA	C27415	C1332247	C24.1	8144/3	
UELMS	C40174	C1519851	C55.9	8891/3	
PRSC	C5536	C1302530	C61.9	8070/3	
CESC	C4028	C0279671	C53.9	8070/3	
PPTID	C6967	C1367859	C75.3	9362/3	
CCOV	C40076	C0346164	C56.9	8310/3	
SYNS	C3400	C0039101	C49.9	9040/3	
ERMS	C8971	C0206656	C49.9	8910/3	
EYE	C12401	C0015392			
CUP	C3812	C0220647	C80.9	8000/3	
UM	C7712	C0220633	C69.4	8720/3	677
RAML	C3888	C0241961	C64.9	8860/0	
WM	C80307	C0024419	C42.4	9761/3	682
CHOL	C4436	C0206698	C22.0	8160/3	580
OTHER	C17649	C0205394	C80.9	8000/3	
OCSC	C4833	C0585362	C14.8	8070/3	
ANGS	C3088	C0018923	C49.9	9120/3	
GEJ	C9296	C1332166	C15.9	8140/3	
BOWEL	C12736	C0021853	C26.0	8000/3	
CPP	C3698	C0205770	C72.9	9390/0	
WT	C3267	CL505178	C64.9	8960/3	683
THYC	C7569	C0205969	C37.9	8586/3	
TET	C6450	C1266101	C37.9	8010/3	674
HGNEC	C96156	C3272607	C18.9	8246/3	
AODG	C4326	C0334590	C72.9	9451/3	
PORO	C27273	C1533161			
ILC	C7950	C0279565	C50.9	8520/3	
HTAT	C6846	C1266049	C73.9	8336/0	
LDD	C8419	C0391826	C71.6	9493/0	
PBT	C4952	C0750974	C71.9	8000/3	
ULM	C3434	C0042133	C55.9	8890/0	
NMCHN	C45716	C1707291	C76.0	8010/3	
UMLMS	C40175	C1519861	C55.9	8896/3	
HEAD_NECK	C12418	C0460004	C76.0	8000/3	608
UDMN	C36051	C1336860	C80.9	8000/3	
ACRM	C4022	C0346037	C44.9	8744/3	
PHC	C3326	C0031511	C74.9	8700/0	653
DNT	C9505	C1266177	C72.9	9413/0	
GRCT	C3070	C0018206	C56.9	8620/1	
PENIS	C12409	C0030851			650
ACYC	C2970	C0010606	C08.9	8200/3	
VPSCC	C6982	C1336955			
CEEN	C3769	C0206687	C53.9	8380/3	
CHS	C2946	C0008479	C41.9	9220/3	
PTAD	C3329	C0032000	C75.1	8272/0	
ESMM	C5707	C1333460	C15.9	8746/3	
MNG	C3230	C0025286	C70.9	9530/0	630
LIPO	C3194	C0023827	C49.9	8850/3	54056
BEC	C7010	C1333377	C71.9	9070/3	
CPT	C3473	C0085138	C72.9	8000/3	
HPHSC	C4043	C0280321	C13.9	8070/3	
LIHB	C3728	C0206624	C22.0	8970/3	611
DCIS	C2924	C0007124	C50.9	8500/2	
TT	C3877	C0238451	C62.9	9080/1	
MNGT	C3229	C0025284	C70.9	9530/3	
ESCA	C4025	C0279628	C15.9	8140/3	595
CCBOV	C40080	C0279676			
MCC	C9231	C0007129	C44.9	8247/3	631
ECD	C53972	C0878675	C42.4	9750/3	594
URCC	C27892	C1336853	C64.9	8312/3	
DIPG	C94764	C2986658	C72.9	9380/3	
HCL	C7402	C0023443	C42.4	9940/3	607
URCA	C39842	C1511205	C67.7	8010/3	
USMT	C40176	C1519863	C55.9	8897/1	
OMT	C8112	C1334637	C56.9	9080/0	
ULMS	C6340	C0280631	C55.9	8890/3	
MRT	C3808	C0206743	C64.9	8963/3	
SEF	C49027	C1710026	C49.9	8840/3	
AECA	C6938	C1412016	C44.9	8401/3	
CENE	C40214	C1516417	C53.9	8240/3	
LUCA	C4038	C0280089	C34.9	8240/3	
TEOS	C3902	C0259782	C41.9	9183/3	
MBEN	C5407	C1334970			
OAST	C4050	C0280793	C72.9	9382/3	
THYM	C3411	C0040100	C37.9	8580/1	
DES	C9182	C0079218	C49.9	8821/1	
PAASC	C5721	C1335299	C25.9	8560/3	
SNSC	C54287	C0334270	C30.0	8121/3	
THFO	C8054	C0206682	C73.9	8331/3	
ALCL	C3720	C0206180	C42.4	9714/3	560
PECOMA	C38150	C1300127	C49.9	8990/1	
BRCA	C9245	C0853879	C50.9	8010/3	572
UUS	C8972	CL033042	C55.9	8930/3	
IHCH	C35417	C0345905	C22.0	8160/3	
ODGC	C4812	C0334558	C41.0	9270/3	
ACCC	C3768	C0206685	C08.9	8550/3	
SKCN	C3944	C1318558	C44.9	8761/1	
MMBC	C40364	C1513365	C50.9	8575/3	
LYMPH	C13252	C0024202			
LCLC	C4450	C0345958	C34.9	8012/3	
STAS	C5474	C1333761	C16.9	8560/3	
SCGBM	C125890	C1272516	C72.9	9440/3	
COAD	C4349	C0338106	C18.9	8140/3	585
PGNT	C92554	C2985174	C47.9	9509/1	
ESCC	C4024	C0279626	C15.9	8070/3	595
NLPHL	C7258	C1334968	C42.4	9659/3	615
FDCS	C9281	C1260325	C42.4	9758/3	
EHAE	C3800	C0206732	C49.9	9133/3	
EMBT	C3264	C0027654	C72.9	9070/3	
READ	C9383	C0149978	C20.9	8140/3	659
CML	C3172	C0023470	C42.4	9863/3	582
CNC	C3791	C0206719	C72.9	9506/1	
UCS	C42700	C0280630	C55.9	8980/3	
IMMC	C9131	C1334807	C50.9	8480/3	
MZL	C4341	C1367654	C42.4	9699/3	626
RAS	C93125	C2985448	C49.9	8800/3	
SBWDNET	C9461	C1332564	C17.9	8240/3	
MF	C7052	C1266121	C49.9	8890/0	
MTSCC	C39807	C1513719	C64.9	8032/3	
LIAS	C4438	C0345907	C22.0	9124/3	
UCCC	C6344	C1332912	C55.9	8310/3	
MP	C3110	C0020217			
VYST	C6379	C1336945	C57.9	9071/3	
HPCCNS	C4660	C0349622	C72.9	9150/1	
SNUC	C54294	C1710096	C30.0	8020/3	
HCCIHCH	C3828	C0221287	C22.0	8180/3	
BREAST	C12971	C0006141	C50.9	8000/3	44309
EGC	C9296	C1332166	C15.9	8140/3	
MYXO	C6577	C0027149	C49.9	8840/0	
LIAD	C3758	C0206669	C22.0	8170/0	
DF	C6801	C0002991	C44.9	8832/0	
CCLC	C4451	C1707407	C34.9	8310/3	
ETT	C6900	C1266159	C55.9	9105/3	
IMT	C6481	C0334121	C49.9	8825/1	
DDCHDM	C48876	C1266174	C41.9	9372/3	
SBC	C7724	C0238196	C17.9	8000/3	
LUAD	C3512	C0152013	C34.9	8140/3	
MXOV	C40090	C0279392	C56.9	8010/3	
SLCT	C2880	C0003810	C56.9	8631/3	
INTS	C53677	C1708550	C49.9	9137/3	
UAD	C6167	C1336885	C68.0	8140/3	
PROSTATE	C12410	C0033572	C61.9	8000/3	658
UCU	C6166	C0863015	C68.0	8120/3	
HCC	C3099	C0019204	C22.0	8170/3	612
PLMESO	C9351	C1377913	C38.4	9050/3	632
COADREAD	C5105	C1319315	C18.9	8140/3	46096
MPNST	C3798	C0751690	C47.9	9540/3	
PTPR	C92624	C2985219	C75.3	9395/3	
MPE	C3697	C0205769	C72.9	9394/1	
CLNC	C6905	C1370507			
DA	C7889	C0278804	C17.0	8140/3	
PGNG	C3308	C0030421	C49.9	8680/1	
HL	C9357	C0019829	C42.4	9590/3	614
MYCHS	C4303	C0334551	C41.9	9231/3	
BONE	C12366	C0262950	C41.9	8000/3	571
IPMN	C38342	C1518869	C25.9	8453/3	
MYEC	C35700	C1335904	C08.9	8982/3	
BILIARY_TRACT	C12678	C0005423	C24.9	8000/3	
CEGCC	C40212	C1516407	C53.9	8015/3	
EMPD	C3302	C0030186	C44.9	8542/3	
CHOS	C4021	C0279603	C41.9	9181/3	
RLCLC	C6876	C1265997			
CEMU	C26712	C0007130	C53.9	8480/3	
PANET	C27720	C1337011	C25.9	8150/1	647
GINET	C95404	C2987127	C26.9	8240/3	
SFT	C7634	C1266119	C49.9	8815/0	
EPMT	C6770	C1333407	C72.9	9391/3	
GCT	C3474	C0085167	C72.9	9580/0	
HMBL	C3801	C0206734	C72.9	9161/1	
PEOS	C8970	C1377843	C41.9	9192/3	
SKAC	C3775	C0206697	C44.9	8390/3	
HGSOS	C53958	C1266165	C41.9	9194/3	
TLYM	C6810	C0349644	C62.9	9590/3	
PNET	C3716	C0206663	C72.9	9473/3	
DCS	C9294	C1334030			
CCE	C4714	C1384404	C72.9	9391/3	
PAST	C4047	C0334583	C72.9	9421/1	
DFSP	C4683	C0392784	C44.9	8832/3	
BCC	C2921	C0007117	C44.9	8090/3	587
THAP	C3878	C0238461	C73.9	8021/3	
SKLMM	C9151	C2739810	C44.9	8742/3	
TGCT	C3401	C0039106	C49.9	9252/0	
PTCY	C94524	C2986550	C75.1	9432/1	
UPECOMA	C40180	C1519862	C55.9	8990/1	
SCRMS	C6519	C1266134	C49.9	8912/3	
MCN	C41247	C1518872	C25.9	8470/0	
GCCAP	C3689	CL512511	C18.1	8243/3	
MACR	C43585	C1707439	C18.9	8480/3	
AMBL	C6904	C1266180	C72.9	9474/3	
IBC	C4001	C0278601	C50.9	8530/3	
GTD	C4699	C1135868	C55.9	9100/3	603
CHGL	C5592	C1322252	C71.9	9444/1	
RCC	C9385	C0007134	C64.9	8312/3	660
MNET	C7172	C1332889	C72.9	8010/3	
VULVA	C12408	C0042993	C57.9	8000/3	
SSRCC	C5250	C1335965	C16.9	8490/3	
DASTR	C7173	C0280785	C72.9	9400/3	
PRAD	C2919	C0007112	C61.9	8140/3	
MSTAD	C5248	C1334809	C16.9	8480/3	
OSOS	C53953	C1704328	C41.9	9180/3	
PTES	C27472	C1335563	C49.9	8804/3	
PPM	C3904	C3163622			
VSC	C7736	C0238518	C52.9	8070/3	680
PMBL	C9280	C1292754	C42.4	9679/3	657
SPCC	C45541	C1708784	C34.9	8801/3	
MTNN	C3466	C0079772	C42.4	8000/3	46216
HDCN	C3106	C0019618	C42.4	8000/3	46099
RDD	C36075	C0019625	C42.4	9750/3	662
MYELOID	C12434	C0005767			
EMALT	C3898	C0242647	C42.4	9699/3	
TLGL	C4664	C1955861	C42.4	9831/3	621
MBN	C3457	CL448793	C42.4	8000/3	
CLLSLL	C7540	C0855095	C42.4	9823/3	581
PCM	C3242	C0026764	C42.4	9732/3	633
ADNOS	C2852	C0001418	C80.9	8140/3	554
AMLNPM1	C82431	C2826177	C42.4	9861/3	58170
APLPMLRARA	C9155	C0279625	C42.4	9866/3	553
ATLL	C3184	C0023493	C42.4	9827/3	556
BLL	C8936	C0023485	C42.4	9811/3	567
BLLBCRABL1	C80331	C2698317	C42.4	9812/3	4770
DLBCLNOS	C8851	C0079744	C42.4	9680/3	589
ENKL	C4684	C0392788			598
ET	C3407	C0040028	C42.4	9962/3	596
GBM	C3058	C0017636	C72.9	9440/3	604
GNOS	C3059	C0017638	C72.9	9380/3	623
HGGNOS			C72.9	9380/3	46077
LATL			C42.4	9970/1	46091
LBGN			C42.4	8000/0	46091
LCS	C6921	C1260327			620
LNM	C7065	C0598798	C42.4	8000/3	46214
MIDDA	C2868	C0002726			622
SS	C3366	C0036920	C42.4	9701/3	586
NETNOS	C3809	C0206754	C80.9	8240/3	636
PMF	C2862	C0001815	C42.4	9961/3	
PVMF	C41233	C3805232	C42.4	9950/3	
ETMF	C126806	C3805233	C42.4	Unknown	
PTCL	C4340	C2853959	C42.4	9702/3	652
PTLD	C4727	C0432487	C42.4	9971/1	656
PV	C3336	C0032463	C42.4	9950/3	655
SARCNOS	C9118	C1261473	C49.9	8800/3	46222
SCCNOS	C2929	C0007137	C80.9	8070/3	663
TLL	C8694	C1301359	C42.4	9837/3	670
TPLL	C4752	C2363142	C42.4	9834/3	50421
IPN	C6881	C1879344			
IUP	C6192	C1334282			
URMM			C68.0	8746/3	
UPA	C39858	C1384678	C67.9	8120/1	
ADMA	C7644	C0334556	C41.9	9310/0	
LAMN	C42598	C1708747			
