Code	Color	Name	MainType	UMLS	NCI	Tissue	Parent
PCALCL	LimeGreen	Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder, Primary Cutaneous Anaplastic Large Cell Lymphoma	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C1301362	C6860	Hematopoietic	PCTLPL
OUSARC	PeachPuff	Uterine Sarcoma, Other	Uterine Sarcoma			Uterus	USARC
SPIR	Black	Spiroma/Spiradenoma	Skin Cancer, Non-Melanoma	C0334347	C4170	Skin	SKIN
ACN	Black	Acinar Cell Carcinoma, NOS	Cancer of Unknown Primary			Other	CUP
RGNT	Gray	Rosette-forming Glioneuronal Tumor	Miscellaneous Neuroepithelial Tumor	C2347979	C67559	CNS/Brain	GNT
ARMM	SaddleBrown	Anorectal Mucosal Melanoma	Melanoma	C0349538	C4639	Bowel	BOWEL
LYP	LimeGreen	Lymphomatoid Papulosis Subtypes A, B, C, D, E	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C0206182	C3721	Hematopoietic	PCLPD
LIPO	LightYellow	Liposarcoma	Soft Tissue Sarcoma	C0023827	C3194	Soft Tissue	SOFT_TISSUE
ADNOS	Black	Adenocarcinoma, NOS	Cancer of Unknown Primary			Other	CUP
ADMA	White	Adamantinoma	Bone Cancer			Bone	BONE
BONE	White	Bone	Bone Cancer	C0262950	C12366	Tissue	TISSUE
PCGDTCL	LimeGreen	Primary Cutaneous Gamma Delta T-Cell Lymphoma	Mature T and NK Neoplasms	C1707547	C45340	Hematopoietic	PCTLPL
USMT	PeachPuff	Uterine Smooth Muscle Tumor	Uterine Sarcoma	C1519863	C40176	Uterus	USARC
SGAD	Black	Sweat Gland Adenocarcinoma	Skin Cancer, Non-Melanoma	C1883403	C3682	Skin	SKIN
APAD	SaddleBrown	Appendiceal Adenocarcinoma	Appendiceal Cancer	C0238003	C7718	Bowel	BOWEL
PTPR	Gray	Papillary Tumor of the Pineal Region	Pineal Tumor	C2985219	C92624	CNS/Brain	PINT
PINT	Gray	Pineal Tumor	Pineal Tumor	C1412004	C3328	CNS/Brain	BRAIN
PVMF	LightSalmon	Polycythaemia Vera Myelofibrosis	Myeloproliferative Neoplasms			Hematopoietic	PV
PV	LightSalmon	Polycythemia Vera	Myeloproliferative Neoplasms	C0032463	C3336	Hematopoietic	CMPN
HS	LightSalmon	Histiocytic Sarcoma	Histiocytosis			Hematopoietic	HN
HDCN	LightSalmon	Histiocytic and Dendritic Cell Neoplasms	Histiocytosis	C0019618	C3106	Hematopoietic	MYELOID
RNET	Orange	Renal Neuroendocrine Tumor	Renal Neuroendocrine Tumor			Kidney	KIDNEY
KIDNEY	Orange	Kidney	Kidney Cancer	C0022646	C12415	Tissue	TISSUE
AECA	Black	Sweat Gland Carcinoma/Apocrine Eccrine Carcinoma	Skin Cancer, Non-Melanoma	C1412016	C6938	Skin	SKIN
CUPNOS	Black	Cancer of Unknown Primary, NOS	Cancer of Unknown Primary			Other	CUP
ETMF	LightSalmon	Essential Thrombocythemia Myelofibrosis	Myeloproliferative Neoplasms			Hematopoietic	ET
ET	LightSalmon	Essential Thrombocythemia	Myeloproliferative Neoplasms	C0040028	C3407	Hematopoietic	CMPN
PLBL	LimeGreen	Plasmablastic Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C3472614	C7224	Hematopoietic	LBL
MBN	LimeGreen	Mature B-Cell Neoplasms	B-Cell Lymphoid Proliferations and Lymphomas	CL448793	C3457	Hematopoietic	BLPL
PCAECTCL	LimeGreen	Primary Cutaneous CD8 Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma	Mature T and NK Neoplasms	C4518232	C45339	Hematopoietic	PCTLPL
ULM	PeachPuff	Uterine Leiomyoma	Uterine Sarcoma	C0042133	C3434	Uterus	USMT
BRAIN	Gray	CNS/Brain	CNS/Brain Cancer	C3714787	C12438	Tissue	TISSUE
CTAAP	SaddleBrown	Colonic Type Adenocarcinoma of the Appendix	Appendiceal Cancer			Bowel	APAD
EMCHS	White	Extraskeletal Myxoid Chondrosarcoma	Bone Cancer	C1275278	C27502	Bladder/Urinary Tract	CHS
CHS	White	Chondrosarcoma	Bone Cancer	C0008479	C2946	Bone	BONE
TISSUE		Tissue		C0040300	C12801		
ULMS	PeachPuff	Uterine Leiomyosarcoma	Uterine Sarcoma	C0280631	C6340	Uterus	USMT
LCS	LightSalmon	Langerhans Cell Sarcoma	Histiocytosis			Hematopoietic	LCN
CMML	LightSalmon	Chronic Myelomonocytic Leukemia	Myelodysplastic/Myeloproliferative Neoplasms	C0023480	C3178	Hematopoietic	MDS/MPN
ALAL	LightSalmon	Acute Leukemias of Mixed or Ambiguous Lineage	Leukemia	C1301357	C7464	Hematopoietic	HEMATOPOIETIC
MNM	LightSalmon	Myeloid Proliferations and Neoplasms	Blood Cancer, NOS			Hematopoietic	MYELOID
HHV8DLBCL	LightSalmon	KSHV/HHV8 Positive DLBCL	B-Cell Lymphoid Proliferations and Lymphomas	C4527554		Hematopoietic	KSHVHHV8BLPL
PCATCL	LimeGreen	Primary Cutaneous Acral CD8 Positive T-Cell Lymphoproliferative Disorder	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C4528220	C139023	Hematopoietic	PCTLPL
TAC	SaddleBrown	Tubular Adenoma of the Colon	Tubular Adenoma of the Colon			Bowel	BOWEL
GCCAP	SaddleBrown	Goblet Cell Adenocarcinoma of the Appendix	Appendiceal Cancer	C0205695		Bowel	APAD
MCHS	White	Mesenchymal Chondrosarcoma	Bone Cancer	C1708980	C53493	Bladder/Urinary Tract	CHS
PPTID	Gray	Pineal Parenchymal Tumor of Intermediate Differentiation	Pineal Tumor	C1367859	C6967	CNS/Brain	PINT
SFTCNS	Gray	Solitary Fibrous Tumor of the Central Nervous System	CNS Cancer			CNS/Brain	MNGT
MNGT	Gray	Meningothelial Tumor	CNS Cancer	C0025284	C3229	CNS/Brain	BRAIN
PCSMTPLD	LimeGreen	Primary Cutaneous CD4 Positive Small/Medium T-Cell Lymphoproliferative Disorder	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C4528627	C45366	Hematopoietic	PCTLPL
UELMS	PeachPuff	Uterine Epithelioid Leiomyosarcoma	Uterine Sarcoma	C1519851	C40174	Uterus	USMT
AUL	LightSalmon	Acute Undifferentiated Leukemia	Leukemia	C0280141	C9298	Hematopoietic	ALALDI
AA	LightYellow	Aggressive Angiomyxoma	Soft Tissue Sarcoma	C1306242	C6936	Soft Tissue	SOFT_TISSUE
PTH	DarkRed	Parathyroid Cancer	Parathyroid Cancer			Head and Neck	HEAD_NECK
HEAD_NECK	DarkRed	Head and Neck	Head and Neck Cancer	C0460004	C12418	Tissue	TISSUE
BLL11Q	LimeGreen	High-Grade B-Cell Lymphoma with 11q Aberration	B-Cell Lymphoid Proliferations and Lymphomas	C4330613	C131911	Hematopoietic	LBL
MAAP	SaddleBrown	Mucinous Adenocarcinoma of the Appendix	Appendiceal Cancer	C1706832	C43558	Bowel	APAD
PINC	Gray	Pineocytoma	Pineal Tumor	C0917890	C6966	CNS/Brain	PINT
MYCHS	White	Myxoid Chondrosarcoma	Bone Cancer	C0334551	C4303	Bladder/Urinary Tract	CHS
HMBL	Gray	Hemangioblastoma	Miscellaneous Brain Tumor	C0206734	C3801	CNS/Brain	MBT
MBT	Gray	Miscellaneous Brain Tumor	Miscellaneous Brain Tumor	C1334936	C6974	CNS/Brain	BRAIN
STAD	LightSkyBlue	Stomach Adenocarcinoma	Esophagogastric Cancer	C0278701	C4004	Esophagus/Stomach	EGC
EGC	LightSkyBlue	Esophagogastric Adenocarcinoma	Esophagogastric Cancer	C1332166	C9296	Esophagus/Stomach	STOMACH
FTCL	LimeGreen	Nodal T Follicular Helper Cell Lymphoma	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C2700204	C139005	Hematopoietic	MTNN
MPALBCRABL1	LightSalmon	Mixed-Phenotype Acute Leukemia with BCR-ABL1 Fusion	Leukemia	C2826037	C82192	Hematopoietic	ALALDGA
ASPS	LightYellow	Alveolar Soft Part Sarcoma	Soft Tissue Sarcoma	C0206657	C3750	Soft Tissue	SOFT_TISSUE
UMLMS	PeachPuff	Uterine Myxoid Leiomyosarcoma	Uterine Sarcoma	C1519861	C40175	Uterus	USMT
HGBCLMYCBCL2	LimeGreen	DLBCL/HGBL, with MYC and BCL2 Rearrangements	B-Cell Lymphoid Proliferations and Lymphomas	C4524190	C131913	Hematopoietic	LBL
CHDM	White	Chordoma	Bone Cancer	C0008487	C2947	Bone	BONE
PBL	Gray	Pineoblastoma	Pineal Tumor	C0205898	C9344	CNS/Brain	PINT
DSTAD	LightSkyBlue	Diffuse Type Stomach Adenocarcinoma	Esophagogastric Cancer	C0279635	C9159	Esophagus/Stomach	STAD
NSCLC	Gainsboro	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	C0007131	C2926	Lung	LUNG
LUNG	Gainsboro	Lung	Lung Cancer	C0024109	C12468	Tissue	TISSUE
SRAP	SaddleBrown	Signet Ring Cell Type of the Appendix	Appendiceal Cancer	C1711320	C43554	Bowel	APAD
HGBCL	LimeGreen	High-Grade B-Cell Lymphoma, NOS	B-Cell Lymphoid Proliferations and Lymphomas	C0456863	C80291	Hematopoietic	LBL
MPALKMT2A	LightSalmon	Mixed-Phenotype Acute Leukemia with KMT2A Rearrangement	Leukemia	C2826048	C82203	Hematopoietic	ALALDGA
NPTLTFH	LimeGreen	Nodal  T-Follicular Helper Cell Lymphoma, NOS	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C4528209	C168778	Hematopoietic	FTCL
USTUMP	PeachPuff	Uterine Smooth Muscle Tumor of Uncertain Malignant Potential	Uterine Sarcoma	C1519864	C40177	Uterus	USMT
CCHDM	White	Conventional Type Chordoma	Bone Cancer			Bone	CHDM
MLYM	Gray	Malignant Lymphoma	Miscellaneous Brain Tumor	C0024299	C3208	CNS/Brain	MBT
CMPT	Gainsboro	Ciliated Muconodular Papillary Tumor of the Lung	Non-Small Cell Lung Cancer			Lung	NSCLC
ISTAD	LightSkyBlue	Intestinal Type Stomach Adenocarcinoma	Esophagogastric Cancer	C0279633	C9157	Esophagus/Stomach	STAD
COADREAD	SaddleBrown	Colorectal Adenocarcinoma	Colorectal Cancer	C1319315	C5105	Bowel	BOWEL
PCNSM	LightSkyBlue	Meningeal Melanoma	Melanocytic Tumors	C1332888	C5505	CNS/Brain	CMMN
PCNSMT	Gray	Melanocytic Tumors	Melanocytic Tumors			CNS/Brain	BRAIN
PB	Purple	Pancreatoblastoma	Pancreatic Cancer	C0334489	C4265	Pancreas	PANCREAS
PANCREAS	Purple	Pancreas	Pancreatic Cancer	C0030274	C12393	Tissue	TISSUE
CPP	Gray	Choroid Plexus Papilloma	Choroid Plexus Tumor	C0205770	C3698	CNS/Brain	CPT
CPT	Gray	Choroid Plexus Tumor	Choroid Plexus Tumor	C0085138	C3473	CNS/Brain	BRAIN
CSNOS	HotPink	Breast Invasive Carcinosarcoma, NOS	Breast Cancer			Breast	BRCA
BRCA	HotPink	Invasive Breast Carcinoma	Breast Cancer	C0853879	C9245	Breast	BREAST
HCC	MediumSeaGreen	Hepatocellular Carcinoma	Hepatobiliary Cancer	C0019204	C3099	Liver	LIVER
LIVER	MediumSeaGreen	Liver	Liver Cancer	C0023884	C12392	Tissue	TISSUE
AMLRUNX1RUNX1T1	LightSalmon	AML with RUNX1-RUNX1T1 Fusion	Leukemia	C1292774	C9288	Hematopoietic	AMLRGA
AMLRGA	LightSalmon	AML with Defining Genetic Abnormalities	Leukemia	C1275661	C7175	Hematopoietic	AML
ICPN	Green	Intracholecystic Papillary Neoplasm	Hepatobiliary Cancer			Biliary Tract	BILIARY_TRACT
BILIARY_TRACT	Green	Biliary Tract	Biliary Tract Cancer	C0005423	C12678	Tissue	TISSUE
SDCA	DarkRed	Salivary Duct Carcinoma	Salivary Gland Cancer	C1301194	C5904	Head and Neck	SACA
SACA	DarkRed	Salivary Carcinoma	Salivary Gland Cancer	C0948750	C9272	Head and Neck	HEAD_NECK
SBOV	LightBlue	Serous Borderline Ovarian Tumor	Ovarian Cancer	C0279662		Ovary/Fallopian Tube	OVT
PECOMA	LightYellow	Perivascular Epithelioid Cell Tumor	Soft Tissue Sarcoma	C1300127	C38150	Soft Tissue	SOFT_TISSUE
BRCNOS	HotPink	Breast Invasive Carcinoma, NOS	Breast Cancer			Breast	BRCA
PANET	Purple	Pancreatic Neuroendocrine Tumor	Pancreatic Cancer	C1337011	C27720	Pancreas	PANCREAS
EMYOCA	DarkRed	Epithelial-Myoepithelial Carcinoma	Head and Neck Cancer	C0334392	C4199	Head and Neck	OHNCA
OHNCA	DarkRed	Head and Neck Carcinoma, Other	Head and Neck Cancer			Head and Neck	HEAD_NECK
TSCST	Red	Sex Cord Stromal Tumor	Sex Cord Stromal Tumor	C1336728		Testis	TESTIS
TESTIS	Red	Testis	Testicular Cancer	C0039597	C12412	Tissue	TISSUE
ALKLBCL	LimeGreen	ALK Positive Large B-Cell Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C1333294	C7225	Hematopoietic	LBL
MDS/MPN	LightSalmon	Myelodysplastic/Myeloproliferative Neoplasms	Myelodysplastic/Myeloproliferative Neoplasms	C1301355	C27262	Hematopoietic	MNM
LRCHL	LimeGreen	Classic Hodgkin Lymphoma, Lymphocyte-Rich	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	CHL
CHL	LimeGreen	Classic Hodgkin Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C1333064	C7164	Hematopoietic	HL
SPN	Purple	Solid Pseudopapillary Neoplasm of the Pancreas	Pancreatic Cancer	C1336030	C37212	Pancreas	PANCREAS
TMESO	Red	Testicular Mesothelioma	Mesothelioma			Testis	TESTIS
ACPP	Gray	Atypical Choroid Plexus Papilloma	Choroid Plexus Tumor	C1266176	C53686	CNS/Brain	CPT
CCRCC	Orange	Renal Clear Cell Carcinoma	Renal Cell Carcinoma	C0279702	C4033	Kidney	RCC
RCC	Orange	Renal Cell Carcinoma	Renal Cell Carcinoma	C0007134	C9385	Kidney	KIDNEY
IDC	HotPink	Breast Invasive Ductal Carcinoma	Breast Cancer	C1134719	C4194	Breast	BRCA
PMHE	LightYellow	Pseudomyogenic Hemangioendothelioma	Soft Tissue Sarcoma	CL479537		Soft Tissue	SOFT_TISSUE
LDCHL	LimeGreen	Classic Hodgkin Lymphoma, Lymphocyte-Depleted	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	CHL
OVARY	LightBlue	Ovary/Fallopian Tube	Ovarian/Fallopian Tube Cancer	C0029939	C12404	Tissue	TISSUE
SGO	DarkRed	Salivary Gland Oncocytoma	Salivary Gland Cancer	C1335906	C5932	Head and Neck	SACA
AMLCBFBMYH11	LightSalmon	AML with CBFB-MYH11 Fusion	Leukemia	C5395080	C9287	Hematopoietic	AMLRGA
SBL	DarkRed	Sialoblastoma	Sialoblastoma			Head and Neck	HEAD_NECK
TLYM	Red	Testicular Lymphoma	Non-Hodgkin Lymphoma	C0349644	C6810	Testis	TESTIS
SPB	LightSalmon	Solitary Plasmacytoma of Bone	B-Cell Lymphoid Proliferations and Lymphomas	C0272256	C7812	Hematopoietic	PC
HNNE	DarkRed	Head and Neck Neuroendocrine Carcinoma	Head and Neck Cancer			Head and Neck	OHNCA
SBMOV	LightBlue	Serous Borderline Ovarian Tumor, Micropapillary	Ovarian Cancer			Ovary/Fallopian Tube	OVT
ACML	LightSalmon	Myelodysplastic/Myeloproliferative Neoplasm with Neutrophilia	Myelodysplastic/Myeloproliferative Neoplasms	C1292772	C3519	Hematopoietic	MDS/MPN
AMLRARA	LightSalmon	APL with a  Variant RARA translocation	Leukemia	C2825128	C36055	Hematopoietic	APLPMLRARA
ASTR	Gray	Astrocytoma, IDH-Mutant	Glioma	C0004114	C60781	CNS/Brain	ADIFG
DIFG	Gray	Diffuse Glioma	Glioma			CNS/Brain	GGNT
MIDD	LightSalmon	Monoclonal Immunoglobulin Deposition Diseases	B-Cell Lymphoid Proliferations and Lymphomas	C2939462 	C7151	Hematopoietic	DMID
THYMUS	Purple	Thymus	Thymic Cancer	C0040113	C12433	Tissue	TISSUE
ILC	HotPink	Breast Invasive Lobular Carcinoma	Breast Cancer	C0279565	C7950	Breast	BRCA
OGCT	LightBlue	Ovarian Germ Cell Tumor	Germ Cell Tumor	C0238324	C3873	Ovary/Fallopian Tube	OVARY
NMCHN	DarkRed	NUT Midline Carcinoma of the Head and Neck	Head and Neck Cancer	C1707291	C45716	Head and Neck	OHNCA
OOVC	LightBlue	Ovarian Cancer, Other	Ovarian Cancer			Ovary/Fallopian Tube	OVARY
JMML	LightSalmon	Juvenile Myelomonocytic Leukemia	Myelodysplastic/Myeloproliferative Neoplasms	C0349639	C9233	Hematopoietic	MPN
IMS	LightYellow	Myofibromatosis	Myofibromatosis			Soft Tissue	SOFT_TISSUE
PTLD	LimeGreen	Posttransplant Lymphoproliferative Disorders	Posttransplant Lymphoproliferative Disorders			Hematopoietic	MBN
LNM	LimeGreen	Lymphoid Neoplasm	Lymphatic Cancer, NOS			Hematopoietic	LYMPH
PTES	LightYellow	Proximal-Type Epithelioid Sarcoma	Soft Tissue Sarcoma	C1335563	C27472	Soft Tissue	EPIS
EPIS	LightYellow	Epithelioid Sarcoma	Soft Tissue Sarcoma	C0205944	C3714	Soft Tissue	SOFT_TISSUE
ODYS	LightBlue	Dysgerminoma	Germ Cell Tumor	C0346185	C8106	Ovary/Fallopian Tube	OGCT
APLPMLRARA	LightSalmon	APL with PML-RARA Fusion	Leukemia	C0279625	C7968	Hematopoietic	AMLRGA
RAS	LightYellow	Radiation-Associated Sarcoma	Soft Tissue Sarcoma	C2985448	C93125	Soft Tissue	SOFT_TISSUE
EP	LightSalmon	Extramedullary Plasmacytoma	B-Cell Lymphoid Proliferations and Lymphomas	C0278619	C4002	Hematopoietic	PC
BCCP	Cyan	Basal Cell Carcinoma of Prostate	Prostate Cancer			Prostate	PROSTATE
PROSTATE	Cyan	Prostate	Prostate Cancer	C0033572	C12410	Tissue	TISSUE
OEC	LightBlue	Embryonal Carcinoma	Germ Cell Tumor	C0346183	C8108	Ovary/Fallopian Tube	OGCT
AMLDEKNUP214	LightSalmon	AML with DEK-NUP214 Fusion	Leukemia	C2826169	C82423	Hematopoietic	AMLRGA
MDLC	HotPink	Breast Mixed Ductal and Lobular Carcinoma	Breast Cancer	CL007210	C5160	Breast	BRCA
ARMS	LightYellow	Alveolar Rhabdomyosarcoma	Soft Tissue Sarcoma	C0206655	C3749	Soft Tissue	RMS
RMS	LightYellow	Rhabdomyosarcoma	Soft Tissue Sarcoma	C0035412	C3359	Soft Tissue	SOFT_TISSUE
MIDDA	LightSalmon	Immunoglobulin-Related Amyloidosis (AL Amyloidosis)	B-Cell Lymphoid Proliferations and Lymphomas	C0002726	C2868	Hematopoietic	DMID
CCOC	DarkRed	Clear Cell Odontogenic Carcinoma	Head and Neck Cancer	C0475829	C54300	Head and Neck	ODGC
ODGC	DarkRed	Odontogenic Carcinoma	Head and Neck Cancer	C0334558	C4812	Head and Neck	OHNCA
VMM	Purple	Mucosal Melanoma of the Vulva/Vagina	Melanoma	C2004576	C27394	Vulva/Vagina	VULVA
VULVA	Purple	Vulva/Vagina	Vulvar/Vaginal Cancer	C0042993	C12408	Tissue	TISSUE
FIBS	LightYellow	Fibrosarcoma	Soft Tissue Sarcoma	C0016057	C3043	Soft Tissue	SOFT_TISSUE
MDSMPNRST	LightSalmon	Myelodysplastic/Myeloproliferative Neoplasm with SF3B1 Mutation and Thrombocytosis	Myelodysplastic/Myeloproliferative Neoplasms	C2826330	C82616	Hematopoietic	MDS/MPN
PHPTLD	LimeGreen	Plasmacytic Hyperplasia PTLD	Posttransplant Lymphoproliferative Disorders			Hematopoietic	PTLD
HGONEC	LightBlue	High-Grade Neuroendocrine Carcinoma of the Ovary	Ovarian Cancer			Ovary/Fallopian Tube	OOVC
UESL	MediumSeaGreen	Undifferentiated Embryonal Sarcoma of the Liver	Undifferentiated Embryonal Sarcoma of the Liver			Liver	LIVER
FHPTLD	LimeGreen	Florid Follicular Hyperplasia PTLD	Posttransplant Lymphoproliferative Disorders			Hematopoietic	PTLD
ERMS	LightYellow	Embryonal Rhabdomyosarcoma	Soft Tissue Sarcoma	C0206656	C8971	Soft Tissue	RMS
BTOV	LightBlue	Brenner Tumor	Ovarian Cancer	CL323981	C39954	Ovary/Fallopian Tube	OVT
SCCRCC	Orange	Renal Clear Cell Carcinoma with Sarcomatoid Features	Renal Cell Carcinoma			Kidney	CCRCC
SNA	DarkRed	Sinonasal Adenocarcinoma	Head and Neck Cancer	CL473651		Head and Neck	OHNCA
OIMT	LightBlue	Immature Teratoma	Germ Cell Tumor	C0346182	C8111	Ovary/Fallopian Tube	OGCT
BLLIL3IGH	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with IL3-IGH Fusion	B-Cell Lymphoid Proliferations and Lymphomas	C2698316		Hematopoietic	BLL
VSC	Purple	Squamous Cell Carcinoma of the Vulva/Vagina	Vaginal Cancer	C0238518	C7736	Vulva/Vagina	VULVA
MDSMPNU	LightSalmon	Myelodysplastic/Myeloproliferative Neoplasm, NOS (Unclassifiable)	Myelodysplastic/Myeloproliferative Neoplasms	C1268964	C27780	Hematopoietic	MDS/MPN
SEF	LightYellow	Sclerosing Epithelioid Fibrosarcoma	Soft Tissue Sarcoma	C1710026	C49027	Soft Tissue	FIBS
IMPTLD	LimeGreen	Infectious Mononucleosis PTLD	Posttransplant Lymphoproliferative Disorders			Hematopoietic	PTLD
MRTL	MediumSeaGreen	Malignant Rhabdoid Tumor of the Liver	Malignant Rhabdoid Tumor of the Liver			Liver	LIVER
SNUC	DarkRed	Sinonasal Undifferentiated Carcinoma	Head and Neck Cancer	C1710096	C54294	Head and Neck	OHNCA
BTMOV	LightBlue	Brenner Tumor, Malignant	Ovarian Cancer			Ovary/Fallopian Tube	BTOV
GS	LightYellow	Glomangiosarcoma	Soft Tissue Sarcoma	C1266111	C4221	Soft Tissue	SOFT_TISSUE
PPTLD	LimeGreen	Polymorphic PTLD	Posttransplant Lymphoproliferative Disorders			Hematopoietic	PTLD
OMT	LightBlue	Mature Teratoma	Germ Cell Tumor	C1334637	C8112	Ovary/Fallopian Tube	OGCT
PLRMS	LightYellow	Pleomorphic Rhabdomyosarcoma	Soft Tissue Sarcoma	C0334480	C4258	Soft Tissue	RMS
BLLTCF3PBX1	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with TCF3-PBX1 Fusion	B-Cell Lymphoid Proliferations and Lymphomas	C2698315	C80341	Hematopoietic	BLL
GIST	LightYellow	Gastrointestinal Stromal Tumor	Gastrointestinal Stromal Tumor	C0238198	C3868	Soft Tissue	SOFT_TISSUE
VA	Purple	Vaginal Adenocarcinoma	Vaginal Cancer	C0279668	C7981	Vulva/Vagina	VULVA
ESST	LightYellow	Ewing Sarcoma of Soft Tissue	Soft Tissue Sarcoma			Soft Tissue	SOFT_TISSUE
GBAD	Green	Gallbladder Adenocarcinoma, NOS	Hepatobiliary Cancer			Biliary Tract	GBC
GBC	Green	Gallbladder Cancer	Hepatobiliary Cancer	C0235782	C3844	Biliary Tract	ICPN
STOMACH	LightSkyBlue	Esophagus/Stomach	Esophageal/Stomach Cancer	C0038351	C12391	Tissue	TISSUE
HEMA	LightYellow	Hemangioma	Soft Tissue Sarcoma	C0018916	C3085	Soft Tissue	SOFT_TISSUE
