primary	secondary	tertiary	quaternary	quinternary	metamaintype	metacolor	metanci	metaumls	metanccn
CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	Anaplastic Astrocytoma (AASTR)			Glioma	Gray	C9477	C0334579	Central Nervous System Cancers
CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	Oligodendroglioma (ODG)			Glioma	Gray	C3288	C0751396	Central Nervous System Cancers
CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	Anaplastic Oligodendroglioma (AODG)			Glioma	Gray	C4326	C0334590	Central Nervous System Cancers
CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	Oligoastrocytoma (OAST)			Glioma	Gray	C4050	C0280793	Central Nervous System Cancers
CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	Anaplastic Oligoastrocytoma (AOAST)			Glioma	Gray	C6959	C0431108	Central Nervous System Cancers
CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	Diffuse Intrinsic Pontine Glioma (DIPG)			Glioma	Gray	C94764	C2986658	Central Nervous System Cancers
CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	Glioblastoma (GB)	Glioblastoma Multiforme (GBM)		Glioma	Gray	C3058	C0017636	Central Nervous System Cancers
CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	Glioblastoma (GB)	Gliosarcoma (GSARC)		Glioma	Gray	C3796	C0206726	Central Nervous System Cancers
CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	Glioblastoma (GB)	Small Cell Glioblastoma (SCGBM)		Glioma	Gray	C125890	C1272516	Central Nervous System Cancers
CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	High-Grade Glioma, NOS (HGGNOS)			Glioma	Gray			Central Nervous System Cancers
CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Atypical Teratoid/Rhabdoid Tumor (ATRT)			Embryonal Tumor	Gray	C6906	C1266184	Central Nervous System Cancers
CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Desmoplastic/Nodular Medulloblastoma (DMBL)			Embryonal Tumor	Gray	C4956	C0751291	Central Nervous System Cancers
CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Embryonal Tumor with Abundant Neuropil and True Rosettes (ETANTR)			Embryonal Tumor	Gray	C4915	C0700367	Central Nervous System Cancers
CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Ganglioneuroblastoma (GNBL)			Embryonal Tumor	Gray	C3790	C0206718	Central Nervous System Cancers
CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Large Cell/Anaplastic Medulloblastoma (AMBL)			Embryonal Tumor	Gray	C6904	C1266180	Central Nervous System Cancers
CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Medulloblastoma (MBL)			Embryonal Tumor	Gray	C3222	C0025149	Central Nervous System Cancers
CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Medulloblastoma with Extensive Nodularity (MBEN)			Embryonal Tumor	Gray	C5407	C1334970	Central Nervous System Cancers
CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Medulloepithelioma (MDEP)			Embryonal Tumor	Gray	C4327	C0334596	Central Nervous System Cancers
CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Medullomyoblastoma (MMB)			Embryonal Tumor	Gray	C3706	C0205833	Central Nervous System Cancers
CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Melanotic Medulloblastoma (MMBL)			Embryonal Tumor	Gray	C9497	C1275668	Central Nervous System Cancers
CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Neuroblastoma (NBL)			Embryonal Tumor	Gray	C3270	C0027819	Central Nervous System Cancers
CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Olfactory Neuroblastoma (ONBL)			Embryonal Tumor	Gray	C3789	C0206717	Central Nervous System Cancers
CNS/Brain (BRAIN)	Embryonal Tumor (EMBT)	Primitive Neuroectodermal Tumor (PNET)			Embryonal Tumor	Gray	C3716	C0206663	Central Nervous System Cancers
CNS/Brain (BRAIN)	Encapsulated Glioma (ENCG)	Anaplastic Pleomorphic Xanthoastrocytoma (APXA)			Glioma	Gray	C129327	CL512339	
CNS/Brain (BRAIN)	Encapsulated Glioma (ENCG)	Pilocytic Astrocytoma (PAST)			Glioma	Gray	C4047	C0334583	Central Nervous System Cancers
CNS/Brain (BRAIN)	Encapsulated Glioma (ENCG)	Pilomyxoid Astrocytoma (PMA)			Glioma	Gray	C40315	C1519086	Central Nervous System Cancers
CNS/Brain (BRAIN)	Encapsulated Glioma (ENCG)	Pleomorphic Xanthoastrocytoma (PXA)			Glioma	Gray	C4323	C0334586	Central Nervous System Cancers
CNS/Brain (BRAIN)	Encapsulated Glioma (ENCG)	Dysembryoplastic Neuroepithelial Tumor (DNT)			Glioma	Gray	C9505	C1266177	Central Nervous System Cancers
CNS/Brain (BRAIN)	Encapsulated Glioma (ENCG)	Gangliocytoma (GNC)			Glioma	Gray	C6934	CL378224	Central Nervous System Cancers
CNS/Brain (BRAIN)	Encapsulated Glioma (ENCG)	Ganglioglioma (GNG)			Glioma	Gray	C3788	C0206716	Central Nervous System Cancers
CNS/Brain (BRAIN)	Encapsulated Glioma (ENCG)	Anaplastic Ganglioglioma (AGNG)			Glioma	Gray	C4717	C0431112	Central Nervous System Cancers
CNS/Brain (BRAIN)	Encapsulated Glioma (ENCG)	Low-Grade Glioma, NOS (LGGNOS)			Glioma	Gray		C1997581	Central Nervous System Cancers
CNS/Brain (BRAIN)	Ependymomal Tumor (EPMT)	Ependymoma (EPM)			CNS Cancer	Gray	C3017	C0014474	Central Nervous System Cancers
CNS/Brain (BRAIN)	Ependymomal Tumor (EPMT)	Anaplastic Ependymoma (APE)			CNS Cancer	Gray	C4049	C0280788	Central Nervous System Cancers
CNS/Brain (BRAIN)	Ependymomal Tumor (EPMT)	Clear Cell Ependymoma (CCE)			CNS Cancer	Gray	C4714	C1384404	Central Nervous System Cancers
CNS/Brain (BRAIN)	Ependymomal Tumor (EPMT)	Myxopapillary Ependymoma (MPE)			CNS Cancer	Gray	C3697	C0205769	Central Nervous System Cancers
CNS/Brain (BRAIN)	Ependymomal Tumor (EPMT)	Subependymoma (SUBE)			CNS Cancer	Gray	C3795	C0206725	Central Nervous System Cancers
CNS/Brain (BRAIN)	Germ Cell Tumor, Brain (BGCT)	Choriocarcinoma (BCCA)			Germ Cell Tumor	Gray	C7012	C1332876	Central Nervous System Cancers
CNS/Brain (BRAIN)	Germ Cell Tumor, Brain (BGCT)	Embryonal Carcinoma (BEC)			Germ Cell Tumor	Gray	C7010	C1333377	Central Nervous System Cancers
CNS/Brain (BRAIN)	Germ Cell Tumor, Brain (BGCT)	Germinoma (GMN)			Germ Cell Tumor	Gray	C7009	C1333813	Central Nervous System Cancers
CNS/Brain (BRAIN)	Germ Cell Tumor, Brain (BGCT)	Immature Teratoma (BIMT)			Germ Cell Tumor	Gray	C7014	C1332883	Central Nervous System Cancers
CNS/Brain (BRAIN)	Germ Cell Tumor, Brain (BGCT)	Malignant Teratoma (BMGT)			Germ Cell Tumor	Gray	C7015	C1336704	Central Nervous System Cancers
CNS/Brain (BRAIN)	Germ Cell Tumor, Brain (BGCT)	Mature Teratoma (BMT)			Germ Cell Tumor	Gray	C7013	C1332886	Central Nervous System Cancers
CNS/Brain (BRAIN)	Germ Cell Tumor, Brain (BGCT)	Mixed Germ Cell Tumor (BMGCT)			Germ Cell Tumor	Gray	C7016	C1334785	Central Nervous System Cancers
CNS/Brain (BRAIN)	Germ Cell Tumor, Brain (BGCT)	Yolk Sac Tumor (BYST)			Germ Cell Tumor	Gray	C7011	C1337040	Central Nervous System Cancers
CNS/Brain (BRAIN)	Meningothelial Tumor (MNGT)	Meningioma (MNG)			CNS Cancer	Gray	C3230	C0025286	Central Nervous System Cancers
CNS/Brain (BRAIN)	Meningothelial Tumor (MNGT)	Anaplastic Meningioma (ANM)			CNS Cancer	Gray	C4051	C0259785	Central Nervous System Cancers
CNS/Brain (BRAIN)	Meningothelial Tumor (MNGT)	Atypical Meningioma (ATM)			CNS Cancer	Gray	C4723	C0431122	Central Nervous System Cancers
CNS/Brain (BRAIN)	Meningothelial Tumor (MNGT)	Chordoid Meningioma (CHOM)			CNS Cancer	Gray	C6908	C1370510	Central Nervous System Cancers
CNS/Brain (BRAIN)	Meningothelial Tumor (MNGT)	Clear cell Meningioma (CCM)			CNS Cancer	Gray	C4722	C0431121	Central Nervous System Cancers
CNS/Brain (BRAIN)	Meningothelial Tumor (MNGT)	Hemangiopericytoma of the Central Nervous System (HPCCNS)			CNS Cancer	Gray	C4660	C0349622	Central Nervous System Cancers
CNS/Brain (BRAIN)	Meningothelial Tumor (MNGT)	Papillary Meningioma (PPM)			CNS Cancer	Gray	C3904	C3163622	Central Nervous System Cancers
CNS/Brain (BRAIN)	Meningothelial Tumor (MNGT)	Rhabdoid Meningioma (RHM)			CNS Cancer	Gray	C6909	C0259786	Central Nervous System Cancers
CNS/Brain (BRAIN)	Meningothelial Tumor (MNGT)	Solitary Fibrous Tumor of the Central Nervous System (SFTCNS)			CNS Cancer	Gray	C4660	C0349622	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Brain Tumor (MBT)	Hemangioblastoma (HMBL)			Miscellaneous Brain Tumor	Gray	C7007	C1333955	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Brain Tumor (MBT)	Malignant Lymphoma (MLYM)			Miscellaneous Brain Tumor	Gray	C9301	C0280803	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Brain Tumor (MBT)	Malignant Tumor (MT)			Miscellaneous Brain Tumor	Gray	C4627	C0348374	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Brain Tumor (MBT)	Mesenchymal Chondrosarcoma of the CNS (MCHSCNS)			Miscellaneous Brain Tumor	Gray	C129534	CL512686	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Brain Tumor (MBT)	Primary Brain Tumor (PBT)			Miscellaneous Brain Tumor	Gray	C4952	C0750974	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Brain Tumor (MBT)	Primary Neuroepithelial Tumor (PRNET)			Miscellaneous Brain Tumor	Gray	C3787	C0206715	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Brain Tumor (MBT)	High-Grade Neuroepithelial Tumor (HGNET)			Miscellaneous Brain Tumor	Gray			Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Brain Tumor (MBT)	Low-Grade Neuroepithelial Tumor (LGNET)			Miscellaneous Brain Tumor	Gray			Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Neuroepithelial Tumor (MNET)	Angiocentric Glioma (ANGL)			Miscellaneous Neuroepithelial Tumor	Gray	C92552	C2363903	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Neuroepithelial Tumor (MNET)	Astroblastoma (ASTB)			Miscellaneous Neuroepithelial Tumor	Gray	C4324	C0334587	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Neuroepithelial Tumor (MNET)	Cerebellar Liponeurocytoma (CLNC)			Miscellaneous Neuroepithelial Tumor	Gray	C6905	C1370507	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Neuroepithelial Tumor (MNET)	Chordoid Glioma of the Third Ventricle (CHGL)			Miscellaneous Neuroepithelial Tumor	Gray	C5592	C1322252	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Neuroepithelial Tumor (MNET)	Central Neurocytoma (CNC)			Miscellaneous Neuroepithelial Tumor	Gray	C3791	C0206719	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Neuroepithelial Tumor (MNET)	Desmoplastic Infantile Astrocytoma (DIA)			Miscellaneous Neuroepithelial Tumor	Gray	C9476	C0457179	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Neuroepithelial Tumor (MNET)	Desmoplastic Infantile Ganglioglioma (DIG)			Miscellaneous Neuroepithelial Tumor	Gray	C4738	C1321878	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Neuroepithelial Tumor (MNET)	Dysplastic Gangliocytoma of the Cerebellum/Lhermitte-Duclos Disease (LDD)			Miscellaneous Neuroepithelial Tumor	Gray	C8419	C0391826	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Neuroepithelial Tumor (MNET)	Extraventricular Neurocytoma (EVN)			Miscellaneous Neuroepithelial Tumor	Gray	C92555	C2985175	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Neuroepithelial Tumor (MNET)	Papillary Glioneuronal Tumor (PGNT)			Miscellaneous Neuroepithelial Tumor	Gray	C92554	C2985174	Central Nervous System Cancers
CNS/Brain (BRAIN)	Miscellaneous Neuroepithelial Tumor (MNET)	Rosette-forming Glioneuronal Tumor of the Fourth Ventricle (RGNT)			Miscellaneous Neuroepithelial Tumor	Gray	C67559	C2347979	Central Nervous System Cancers
CNS/Brain (BRAIN)	Pineal Tumor (PINT)	Papillary Tumor of the Pineal Region (PTPR)			Pineal Tumor	Gray	C92624	C2985219	Central Nervous System Cancers
CNS/Brain (BRAIN)	Pineal Tumor (PINT)	Pineal Parenchymal Tumor of Intermediate Differentiation (PPTID)			Pineal Tumor	Gray	C6967	C1367859	Central Nervous System Cancers
CNS/Brain (BRAIN)	Pineal Tumor (PINT)	Pineocytoma (PINC)			Pineal Tumor	Gray	C6966	C0917890	Central Nervous System Cancers
CNS/Brain (BRAIN)	Pineal Tumor (PINT)	Pineoblastoma (PBL)			Pineal Tumor	Gray	C9344	C0205898	Central Nervous System Cancers
CNS/Brain (BRAIN)	Primary CNS Melanoma (PCNSM)				Melanoma	LightSkyBlue		CL495811	
CNS/Brain (BRAIN)	Sellar Tumor (SELT)	Craniopharyngioma, Adamantinomatous Type (ACPG)			Sellar Tumor	Gray	C4726	C0431129	Central Nervous System Cancers
CNS/Brain (BRAIN)	Sellar Tumor (SELT)	Craniopharyngioma, Papillary Type (PCGP)			Sellar Tumor	Gray	C4725	C0431128	Central Nervous System Cancers
CNS/Brain (BRAIN)	Sellar Tumor (SELT)	Granular Cell Tumor (GCT)			Sellar Tumor	Gray	C3474	C0085167	Central Nervous System Cancers
CNS/Brain (BRAIN)	Sellar Tumor (SELT)	Pituicytoma (PTCY)			Sellar Tumor	Gray	C94524	C2986550	Central Nervous System Cancers
CNS/Brain (BRAIN)	Sellar Tumor (SELT)	Pituitary Adenoma (PTAD)			Sellar Tumor	Gray	C3329	C0032000	Central Nervous System Cancers
CNS/Brain (BRAIN)	Sellar Tumor (SELT)	Atypical Pituitary Adenoma (APTAD)			Sellar Tumor	Gray			Central Nervous System Cancers
CNS/Brain (BRAIN)	Sellar Tumor (SELT)	Pituitary Carcinoma (PTCA)			Sellar Tumor	Gray	C4536	C0346300	Central Nervous System Cancers
CNS/Brain (BRAIN)	Sellar Tumor (SELT)	Spindle Cell Oncocytoma of the Adenohypophysis (SCOAH)			Sellar Tumor	Gray	C94537	C2986561	Central Nervous System Cancers
Breast (BREAST)	Adenomyoepithelioma of the Breast (BRAME)				Breast Cancer	HotPink	C6899	C1510795	Breast Cancer
Breast (BREAST)	Breast Ductal Carcinoma In Situ (DCIS)				Breast Cancer	HotPink	C2924	C0007124	Breast Cancer
Breast (BREAST)	Breast Ductal Carcinoma In Situ (DCIS)	Paget Disease of the Nipple (PD)			Breast Cancer	HotPink	C3301	C1704323	Breast Cancer
Breast (BREAST)	Invasive Breast Carcinoma (BRCA)				Breast Cancer	HotPink	C9245	C0853879	Breast Cancer
